iter	Passed	Remaining
0	0	69
1	1	64
2	1	61
3	2	57
4	2	56
5	3	55
6	4	54
7	4	54
8	5	53
9	5	53
10	6	53
11	7	53
12	7	52
13	8	52
14	9	51
15	9	51
16	10	51
17	11	50
18	11	49
19	12	49
20	13	49
21	13	48
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
